file,dontrun_n,donttest_n,examples_block
morie_estimate_propensity_scores.Rd,0,0,1
morie_eta_squared.Rd,0,0,1
morie_ewma_volatility.Rd,0,0,1
morie_fairness_apply_profile.Rd,0,0,1
morie_fairness_average_odds_difference.Rd,0,0,1
morie_fairness_bias_amplification.Rd,0,0,1
morie_fairness_city_profile.Rd,0,0,1
morie_fairness_column_map.Rd,0,0,0
morie_fairness_ctgan_debiaser.Rd,0,0,0
morie_fairness_demographic_parity.Rd,0,0,1
morie_fairness_disparate_impact.Rd,0,0,1
morie_fairness_equalized_odds.Rd,0,0,1
morie_fairness_gan.Rd,0,0,0
morie_fairness_get_city.Rd,0,0,0
morie_fairness_gini.Rd,0,0,1
morie_fairness_list_cities.Rd,0,0,0
morie_fairness_noisy_or_detection.Rd,0,0,0
morie_fairness_predpol.Rd,0,0,0
morie_fairness_predpol_aggregate_areas.Rd,0,0,0
morie_fairness_predpol_calibration_audit.Rd,0,0,0
morie_fairness_predpol_score_disparity.Rd,0,0,0
morie_fairness_predpol_temporal_audit.Rd,0,0,1
morie_fairness_register_city.Rd,0,0,0
morie_fairness_simulate_biased_crime_data.Rd,0,0,0
morie_fairness_simulation.Rd,0,0,0
morie_fairness_spatial_gan.Rd,0,0,0
morie_fairness_xai.Rd,0,0,0
morie_fairness_xai_ale.Rd,0,0,0
morie_fairness_xai_ceteris_paribus.Rd,0,0,0
morie_fairness_xai_partial_dependence.Rd,0,0,0
morie_fairness_xai_permutation_importance.Rd,0,0,0
morie_fairness_xai_shap_values.Rd,0,0,0
morie_fast_available.Rd,0,0,1
morie_fetch.Rd,1,0,1
morie_fetch_arcgis.Rd,1,0,1
morie_fetch_ckan.Rd,1,0,1
morie_fetch_siu.Rd,1,0,1
morie_fetch_tps.Rd,1,0,1
morie_find_project_root.Rd,0,0,1
morie_fisher_exact_test.Rd,0,0,1
morie_fwpas_forward_pass_dense.Rd,0,0,1
morie_ganls_gan_loss.Rd,0,0,1
morie_garch_fit.Rd,0,0,1
morie_gblup_full.Rd,0,0,1
morie_generate_ar_coefficients.Rd,0,0,1
morie_generate_synthetic_data.Rd,0,0,1
morie_generate_var_coefficients.Rd,0,0,1
morie_genomic_cross_validation.Rd,0,0,1
morie_ghosal_adaptation.Rd,0,0,1
morie_ghosal_bernstein_von_mises.Rd,0,0,1
morie_ghosal_contraction_rate.Rd,0,0,1
morie_ghosal_dirichlet_posterior.Rd,0,0,1
morie_ghosal_dpmixture_density.Rd,0,0,1
morie_ghosal_empirical_bayes.Rd,0,0,1
morie_ghosal_gp_matern.Rd,0,0,1
morie_ghosal_gp_squared_exponential.Rd,0,0,1
morie_ghosal_hierarchical_bayes.Rd,0,0,1
morie_ghosal_log_density.Rd,0,0,1
morie_ghosal_moment_matching.Rd,0,0,1
morie_ghosal_neutral_right.Rd,0,0,1
morie_ghosal_np_classification.Rd,0,0,1
morie_ghosal_np_regression.Rd,0,0,1
morie_ghosal_np_testing.Rd,0,0,1
morie_ghosal_posterior_consistency.Rd,0,0,1
morie_ghosal_sieve_prior.Rd,0,0,1
morie_ghosal_stick_breaking_trunc.Rd,0,0,1
morie_ghosal_survival_beta_process.Rd,0,0,1
morie_ghosal_wavelet_prior.Rd,0,0,1
morie_gpl_compatible_licenses.Rd,0,0,1
morie_gradient_boosting_ensemble.Rd,0,0,1
morie_gradient_boosting_genomic.Rd,0,0,1
morie_gradient_descent_vanilla.Rd,0,0,1
morie_grid_search_cv.Rd,0,0,1
morie_grm_vanraden.Rd,0,0,1
morie_grucl_gru_cell.Rd,0,0,1
morie_gxe_interaction_model.Rd,0,0,1
morie_hawkes_fit.Rd,0,0,1
morie_hedges_g.Rd,0,0,1
morie_heinz_he_initialization.Rd,0,0,1
morie_hurst_r.Rd,0,1,1
morie_infer_measurement_level.Rd,0,0,1
morie_ingest_bigquery_build_sql.Rd,0,0,1
morie_ingest_bigquery_query.Rd,1,0,1
morie_ingest_bigquery_table.Rd,1,0,1
morie_ingest_chicago_crime.Rd,1,0,1
morie_ingest_chicago_crime_bigquery.Rd,0,0,0
morie_ingest_chicago_resources.Rd,0,0,0
morie_ingest_chicago_socrata.Rd,1,0,1
morie_ingest_cihi_xlsx.Rd,0,0,0
morie_ingest_ckan_fetch_package_csvs.Rd,0,0,0
morie_ingest_ckan_package_search.Rd,1,0,1
morie_ingest_ckan_package_show.Rd,0,0,0
morie_ingest_ckan_read_resource.Rd,0,0,0
morie_ingest_ckan_resource_show.Rd,0,0,0
morie_ingest_ckan_search_packages.Rd,0,0,0
morie_ingest_forensics_namus_missing.Rd,1,0,1
morie_ingest_forensics_nibrs.Rd,1,0,1
morie_ingest_forensics_nist_rds.Rd,0,0,0
morie_ingest_statcan_cansim.Rd,1,0,1
morie_ingest_statcan_csv.Rd,1,0,1
morie_ingest_tps_feature_layer.Rd,1,0,1
morie_ingest_tps_fetch.Rd,0,0,0
morie_ingest_tps_layers.Rd,0,0,1
morie_inspect_output.Rd,0,0,1
morie_is_over_legal_limit.Rd,0,0,1
morie_iv_anderson_rubin.Rd,0,0,0
morie_iv_anderson_rubin_ci.Rd,0,0,0
morie_iv_conditional_lr.Rd,0,0,0
morie_iv_control_function.Rd,0,0,0
morie_iv_cragg_donald.Rd,0,0,0
morie_iv_cue_gmm.Rd,0,0,0
morie_iv_diagnostics.Rd,0,0,0
morie_iv_durbin_wu_hausman.Rd,0,0,0
morie_iv_first_stage_diagnostics.Rd,0,0,0
morie_iv_gmm.Rd,0,0,0
morie_iv_hansen_j.Rd,0,0,0
morie_iv_hausman.Rd,0,0,0
morie_iv_jive.Rd,0,0,0
morie_iv_kleibergen_paap.Rd,0,0,0
morie_iv_liml.Rd,0,0,0
morie_iv_panel.Rd,0,0,0
morie_iv_probit.Rd,0,0,0
morie_iv_residual_analysis.Rd,0,0,0
morie_iv_sargan.Rd,0,0,0
morie_iv_split_sample.Rd,0,0,0
morie_iv_stock_yogo.Rd,0,0,0
morie_iv_tsls.Rd,0,0,0
